         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         G3M192,      17.93,  0.1954583,      10.62,  0.2847313,       0.00,  0.1291669,       1.29,  0.1407560,       0.14,  0.1534729,       4.59,  0.1762225,       0.86,  0.1584401,  0.1997741, -0.2960164,   697
         B7TQM8,      30.94,  0.3084812,      37.57,  0.3865280,      27.62,  0.3487983,       7.18,  0.2205018,       0.00,  0.1637835,      20.44,  0.3093197,      16.02,  0.2895688,  0.0862398, -0.0519050,   181
         D7F7M7,      18.63,  0.2117553,      26.09,  0.3836786,       0.00,  0.1773016,       9.94,  0.2759888,       4.97,  0.2872614,      20.50,  0.2962154,       8.07,  0.2424832,  0.1835066, -0.0773157,   161
         Q2VE61,      10.49,  0.2003516,      40.74,  0.4310187,       0.00,  0.1781924,      12.35,  0.3153765,       8.02,  0.3180096,      32.10,  0.3610937,       8.02,  0.2709751,  0.1964216, -0.0518963,   162
         E9Q401,       3.55,  0.1170599,       4.73,  0.2731666,       0.00,  0.1088675,       3.55,  0.1774822,       0.00,  0.1330718,       7.69,  0.1753956,       0.00,  0.1460294,  0.2792928, -0.1397464,   169
         D0UYB8,      14.69,  0.2048440,       6.78,  0.2965699,       0.00,  0.1576869,       6.21,  0.1996876,       0.00,  0.1884416,       8.47,  0.1976272,       4.52,  0.1811950,  0.1926918, -0.0401599,   177
         G0R7E2,      15.48,  0.2382626,      21.73,  0.3563988,      19.05,  0.2497276,       8.93,  0.2528566,       5.95,  0.2597280,       8.04,  0.2223100,       6.85,  0.2215926,  0.1583318, -0.1392416,   336
         Q8DTF1,      10.17,  0.1934777,      34.18,  0.4897287,      23.45,  0.3160869,      10.45,  0.3474649,      21.75,  0.4363699,      11.58,  0.3022010,      12.15,  0.3475548,  0.2034262,  0.0133416,   354
         Q9KG76,       6.51,  0.1506237,      10.62,  0.3198279,       0.13,  0.1177394,       5.71,  0.2251547,       4.65,  0.2453176,       4.78,  0.1872183,       1.46,  0.1880236,  0.2444677, -0.0393563,   753
     A0A125SA29,       0.00,  0.1549131,      19.30,  0.3780378,       0.00,  0.2283190,      30.70,  0.3696543,      22.81,  0.3850689,      21.05,  0.2671809,       2.63,  0.2591424,  0.2446022, -0.1272576,   114
         P01111,      11.45,  0.2616218,      12.65,  0.3182645,       0.00,  0.1606286,       3.61,  0.2312831,       0.00,  0.2209609,       5.42,  0.2106264,       1.20,  0.2071261,  0.1386943, -0.1189840,   166
     A0A0H2WY27,      17.83,  0.2290109,      16.99,  0.3916452,       0.00,  0.2829889,       6.13,  0.2803470,       9.47,  0.3285604,       9.47,  0.2494847,       3.06,  0.2465080,  0.1701716, -0.0797474,   359
     A0A0H2W5S9,      26.72,  0.2691032,      23.66,  0.3636298,       0.00,  0.1684791,       9.92,  0.2064565,       5.34,  0.1817668,      27.48,  0.3409173,       7.63,  0.2269789,  0.1291776, -0.1530519,   131
         Q6QK01,      19.19,  0.3330434,       8.08,  0.2677305,       0.00,  0.0902453,       6.06,  0.2002676,       0.00,  0.1594891,      12.12,  0.2191992,       0.00,  0.1966216,  0.0706921, -0.2658114,    99
         P46096,      12.58,  0.2119955,      17.22,  0.3403220,      15.23,  0.2260473,       6.62,  0.2187470,       0.00,  0.2084576,       5.30,  0.2166504,       0.00,  0.1993621,  0.1840207, -0.1091676,   151
         Q32ZE1,      41.84,  0.4124708,      19.31,  0.3486499,      14.48,  0.2548322,      12.41,  0.2643442,       8.74,  0.3114235,      14.48,  0.2518277,       6.90,  0.2647859, -0.0141425, -0.1395350,   435
         P30563,      27.52,  0.3035744,      54.13,  0.4770515,      18.35,  0.3727628,      11.93,  0.3093899,       3.67,  0.2918952,      20.18,  0.3276048,       4.59,  0.2849193,  0.0927150, -0.0776608,   109
         Q5JIW4,      34.15,  0.3620776,       9.15,  0.3125387,       0.00,  0.2131635,       3.96,  0.2160006,       1.22,  0.2450247,       7.93,  0.2088457,       1.52,  0.2240812,  0.0370231, -0.2357349,   328
         B3VHM9,      13.72,  0.1936016,      27.79,  0.4158137,      36.36,  0.4239056,       3.09,  0.1656315,       0.17,  0.1772704,       4.63,  0.1800276,       6.35,  0.2593752,  0.2022434, -0.0863993,   583
         Q7CPI7,      26.37,  0.3108756,      19.06,  0.3680701,       1.04,  0.2049042,      10.44,  0.2816640,       5.48,  0.2944616,       6.27,  0.2397134,       6.53,  0.2491307,  0.0855337, -0.1521849,   383
         B9MKT7,       8.55,  0.1471512,      15.34,  0.3085562,       0.00,  0.1062538,       2.95,  0.1843191,       0.29,  0.1670343,       5.60,  0.1907917,       1.47,  0.1663087,  0.2468340, -0.0937108,   339
     A0A1P8FCM7,       5.04,  0.1336543,      25.52,  0.3777552,       0.00,  0.0876928,       4.45,  0.2524516,       6.53,  0.2775665,       9.79,  0.2659295,       2.67,  0.2178928,  0.2622410, -0.0133455,   337
         K9WT99,       0.97,  0.0392392,       4.85,  0.1419723,       0.00,  0.1400166,       0.00,  0.0152985,       0.00,  0.0069409,       9.71,  0.1694191,       0.49,  0.0621450,  0.3458882, -0.4638815,   206
         O43924,      41.33,  0.3830948,      19.33,  0.3364016,       0.67,  0.2465668,       4.67,  0.2160760,       0.00,  0.1866121,      12.67,  0.2584120,       4.67,  0.2300995,  0.0134093, -0.1548888,   150
     A0A0U1R0I0,      44.03,  0.4343913,      29.83,  0.4063455,       6.82,  0.2425054,       5.97,  0.2843366,      19.32,  0.3725122,      11.65,  0.2932007,       5.40,  0.2984644, -0.0332063, -0.2089126,   352
         Q9LLQ2,      20.65,  0.2817875,      35.48,  0.4112910,      29.68,  0.3126450,      16.77,  0.2682652,      10.97,  0.2741509,      21.29,  0.2814435,       7.10,  0.2528231,  0.1163877, -0.1570098,   155
     A0A1C3NEV1,       7.10,  0.1323934,      12.65,  0.3206065,       0.93,  0.1234563,       6.17,  0.2231120,       2.47,  0.2518936,       6.79,  0.1879267,       4.01,  0.1859888,  0.2615451, -0.1050584,   324
         K2JXG0,       5.58,  0.1433990,      14.16,  0.2816061,       2.15,  0.1736615,       3.00,  0.1198789,       0.00,  0.0983381,       7.30,  0.1908932,       1.29,  0.1390192,  0.2529958, -0.2801846,   233
         D2K8B3,      20.10,  0.2824644,      28.64,  0.4183126,      13.57,  0.2896916,       7.04,  0.2450125,       1.01,  0.2643933,      20.10,  0.2904902,       6.03,  0.2501123,  0.1146873, -0.2452736,   199
         P08191,      23.27,  0.3045545,      20.13,  0.3236769,       0.00,  0.1266793,       5.03,  0.1751270,       1.89,  0.1894936,      15.72,  0.2684612,       0.63,  0.2102188,  0.0920947, -0.2731158,   159
         N6UXY4,      26.42,  0.3342277,      19.36,  0.3353353,       7.97,  0.2382207,       2.28,  0.1721371,       1.37,  0.1925361,       7.06,  0.2311520,       1.14,  0.2108980,  0.0651504, -0.2884579,   439
     A0A0K1MY03,       6.56,  0.1742970,      12.30,  0.2685513,       0.00,  0.1379248,       8.20,  0.1111213,       0.00,  0.0766667,      18.03,  0.2211952,       0.82,  0.1419720,  0.2261524, -0.2403134,   122
         Q9CI64,      25.27,  0.3320448,      52.75,  0.5230228,      51.65,  0.4928611,      24.18,  0.3670746,      13.19,  0.3499705,      40.66,  0.4315559,      15.38,  0.3339448,  0.0675008, -0.1361535,    91
         I9S9Z7,       5.58,  0.1411827,      13.30,  0.2801618,       2.15,  0.1703385,       3.00,  0.1227361,       0.00,  0.1025399,       7.30,  0.1881676,       1.29,  0.1391313,  0.2549271, -0.2737998,   233
         Q5S581,      36.41,  0.4165951,      32.04,  0.4194802,       5.83,  0.3466911,      10.68,  0.3333092,       8.74,  0.3535243,      15.53,  0.3317805,       6.80,  0.3091149, -0.0169759, -0.0872352,   206
         Q12518,      32.12,  0.3629239,      44.53,  0.4282823,      25.55,  0.3525253,      18.25,  0.2649767,       5.11,  0.2407139,      26.28,  0.3700265,      17.52,  0.2778206,  0.0334068, -0.0388679,   137
         Q00987,      11.70,  0.1671944,      12.77,  0.3106422,      17.02,  0.1803184,       9.57,  0.1447617,       0.00,  0.0958291,      17.02,  0.2518210,       7.45,  0.1617081,  0.2230830, -0.1641789,    94
         V5YAB1,       9.09,  0.2586454,       8.08,  0.2630119,       0.00,  0.0935684,       6.06,  0.1809465,       0.00,  0.1331178,      12.12,  0.2182458,       0.00,  0.1756612,  0.1408941, -0.2790493,    99
         C8BD48,      14.14,  0.2947820,       8.08,  0.2551125,       0.00,  0.0871930,       6.06,  0.1799869,       0.00,  0.1271975,      12.12,  0.2218091,       0.00,  0.1798147,  0.1075608, -0.2845907,    99
     A0A0N9DUX3,      14.52,  0.2284757,      20.00,  0.3677616,       9.35,  0.2454924,      24.19,  0.3275412,      35.16,  0.3868186,       6.77,  0.2015692,       6.77,  0.2929431,  0.1691296, -0.1261700,   310
         P16466,      21.07,  0.2875066,      21.90,  0.4103625,       7.85,  0.2986054,      13.22,  0.2985665,      12.81,  0.3255277,      14.88,  0.2918123,      10.74,  0.2689627,  0.1116930, -0.1968558,   242
         Q2IU02,      32.32,  0.3613882,      18.07,  0.3535039,       6.87,  0.2501313,       6.87,  0.2602465,       5.60,  0.2892293,       7.38,  0.2276905,       0.76,  0.2486765,  0.0391014, -0.1955842,   393
     A0A0H3JRN6,       7.88,  0.1574707,      16.97,  0.3287963,       0.00,  0.1529019,       6.67,  0.1945122,       1.82,  0.1998520,      16.97,  0.2629415,       4.85,  0.1905954,  0.2363485, -0.0967229,   165
         Q72874,      20.20,  0.3195206,       8.08,  0.2719559,       0.00,  0.1017484,       6.06,  0.1918778,       0.00,  0.1401203,      10.10,  0.2395458,       1.01,  0.1938367,  0.0812982, -0.3007907,    99
         A1YIY3,      26.60,  0.2983361,      23.94,  0.3794047,       0.00,  0.1846481,      12.77,  0.2868473,       6.91,  0.3135849,      18.62,  0.2960146,      10.11,  0.2623647,  0.0967532, -0.0430223,   188
         Q183N4,      34.45,  0.3842491,      48.07,  0.4986953,      41.68,  0.4807008,       5.21,  0.2650578,       5.38,  0.3427279,      11.09,  0.2880204,      19.66,  0.3765751,  0.0152384, -0.0997963,   595
         Q9KWR5,      22.52,  0.3119445,      16.53,  0.3351048,       4.96,  0.2079747,       4.13,  0.2278849,       1.03,  0.2572381,       4.96,  0.1923269,       2.07,  0.2207499,  0.0878294, -0.1423941,   484
         B7BGD3,      29.28,  0.3016382,      17.12,  0.3125688,       8.11,  0.2075239,       4.50,  0.1760222,       0.90,  0.1772002,      13.51,  0.2360213,       4.95,  0.2005751,  0.0966885, -0.1545340,   222
         Q9X721,      19.17,  0.2509191,      51.67,  0.5004560,      37.50,  0.4556251,      21.67,  0.3861053,      24.17,  0.4213148,      22.50,  0.3557223,      22.92,  0.3950239,  0.1453259,  0.0364249,   240
         Q8NKS1,      25.68,  0.3710417,      10.14,  0.3128775,       5.41,  0.2273280,       4.05,  0.1136317,       0.00,  0.0862525,      18.24,  0.2667000,       0.68,  0.1917506,  0.0314858, -0.2552814,   148
         Q47396,      33.55,  0.3961817,       8.97,  0.3001669,       0.00,  0.1768390,       2.33,  0.1471501,       0.33,  0.1804990,       7.31,  0.2274996,       1.33,  0.2085830,  0.0048124, -0.2248619,   301
         Q07409,      29.90,  0.3466096,      28.39,  0.3965272,      25.13,  0.3357142,      19.10,  0.3215767,      20.85,  0.3659283,      17.59,  0.2772765,      20.35,  0.3406055,  0.0535064, -0.1700017,   398
     A0A023UH08,       7.62,  0.1621779,      17.22,  0.3178318,       4.64,  0.1546176,       4.64,  0.2302086,       1.66,  0.2438643,       5.96,  0.1961800,       0.00,  0.1917104,  0.2346830, -0.0503357,   302
         Q57556,      10.00,  0.1417787,       5.33,  0.1641527,       0.00,  0.1610045,       0.00,  0.0173440,       0.00,  0.0153695,      10.67,  0.2040528,       0.00,  0.0904496,  0.2500759, -0.5905625,   300
     A0A0F6FBL7,      22.98,  0.3246013,       4.68,  0.2557053,       0.00,  0.1676180,       3.83,  0.1346728,       0.00,  0.1377686,      10.64,  0.2012338,       1.70,  0.1756637,  0.0780830, -0.2216588,   235
         Q6LM17,      23.50,  0.3013067,      27.65,  0.4324007,      13.82,  0.3250751,      18.89,  0.3908435,      22.12,  0.4382520,      14.75,  0.2663877,       7.37,  0.3048652,  0.0964799, -0.0477368,   217
         E3SMK9,       0.74,  0.0865691,      25.00,  0.3354938,       0.00,  0.1806236,       6.62,  0.2207133,       0.00,  0.1419919,      16.18,  0.2808580,       0.74,  0.1776043,  0.3091984,  0.0389403,   136
         G3XCY5,      15.90,  0.2816028,      10.26,  0.3247539,       0.00,  0.2098924,       2.05,  0.2183446,       0.51,  0.2363598,       4.36,  0.1782345,       0.51,  0.2065493,  0.1158708, -0.1509500,   390
         P31016,      42.02,  0.4530078,      33.61,  0.4371191,      15.13,  0.3021465,      15.97,  0.3300664,      12.61,  0.3693686,      25.21,  0.3621146,      17.65,  0.3252794, -0.0561902, -0.1296105,   119
         Q5JHM2,      23.28,  0.2942186,      22.14,  0.3566614,      16.79,  0.3053113,      10.31,  0.2213463,       4.96,  0.2030342,      10.69,  0.2404569,       2.67,  0.2192863,  0.1058952, -0.1451304,   262
         P11014,       5.67,  0.1447298,       9.79,  0.2440576,       0.00,  0.0402543,       3.09,  0.0944809,       0.00,  0.0590795,       9.79,  0.1956532,       2.06,  0.1230002,  0.2484229, -0.1976772,   194
         G0S156,      46.40,  0.4493055,      44.00,  0.4814334,      28.80,  0.3809440,      30.40,  0.4086368,      38.40,  0.4614157,      25.60,  0.3760684,      17.60,  0.3628100, -0.0474574,  0.0080503,   125
         P09455,       5.00,  0.2607690,      15.71,  0.3525709,      12.14,  0.2627149,       7.14,  0.2385536,       0.00,  0.2157483,      15.71,  0.2507050,       3.57,  0.2197245,  0.1389569, -0.0291564,   140
         A6LX94,       5.60,  0.1009363,      12.53,  0.2997632,       0.00,  0.0319809,       2.67,  0.1736283,       0.27,  0.1743186,       4.00,  0.1841873,       1.33,  0.1554723,  0.2878759, -0.1069842,   375
         Q8RP86,      15.73,  0.2848150,      25.09,  0.4002740,       9.74,  0.2841205,       3.37,  0.2731831,       3.75,  0.2726316,       9.36,  0.2400086,       0.00,  0.2451521,  0.1143193, -0.1103346,   267
         X5I2D7,      21.24,  0.2401229,      27.92,  0.4095380,       8.83,  0.2437258,       2.63,  0.2063416,       0.48,  0.2437916,       5.73,  0.2417682,       3.10,  0.2235938,  0.1561722, -0.0791359,   419
         P09919,      20.86,  0.2743293,      12.27,  0.3672618,       2.45,  0.3356267,       4.29,  0.1599651,       0.00,  0.1263637,      12.88,  0.2481265,       0.00,  0.1960078,  0.1223684, -0.2970463,   163
         Q76HN4,      18.32,  0.2516263,      13.23,  0.2799293,       0.51,  0.1891794,       0.89,  0.1502441,       0.00,  0.1461761,       2.54,  0.1643221,       0.51,  0.1653831,  0.1449538, -0.1377564,   786
     A0A0H2URD6,      12.96,  0.1774437,      18.42,  0.3670198,       5.67,  0.2147866,       7.69,  0.2701220,       7.29,  0.3032004,       6.28,  0.2074394,       8.10,  0.2566686,  0.2204796, -0.0002161,   494
         P0A432,      40.12,  0.3797628,      20.35,  0.3933040,      10.47,  0.3250005,       9.30,  0.3378604,       6.98,  0.3669229,      11.63,  0.2818880,       4.65,  0.2932897,  0.0216729, -0.1415664,   172
         Q93K99,      10.82,  0.1564375,      31.87,  0.4032410,      13.16,  0.2084008,      11.11,  0.2812313,      13.16,  0.3132553,      21.93,  0.3193307,       9.06,  0.2455826,  0.2365613,  0.0093558,   342
         A1JMF7,      35.45,  0.3366430,      10.00,  0.3429898,       0.00,  0.1534573,      10.00,  0.2352418,       0.00,  0.2007499,      16.36,  0.2708381,       2.73,  0.2310771,  0.0607425, -0.1107026,   110
         Q16611,      24.69,  0.2868154,      31.48,  0.3513578,      25.31,  0.2547323,      17.90,  0.2417679,       9.26,  0.1890602,      27.78,  0.3071921,      16.05,  0.2293656,  0.1056808, -0.1779010,   162
         Q9FR39,      31.06,  0.3512069,      16.67,  0.3514913,       0.00,  0.2472675,      10.61,  0.3067977,       2.27,  0.2689127,       9.85,  0.2529761,       0.76,  0.2552308,  0.0496062, -0.1802339,   132
         Q9STB6,      24.43,  0.3575096,      14.50,  0.3413040,       0.00,  0.2175422,       5.34,  0.2955061,       3.05,  0.2692111,      12.98,  0.2633610,       0.00,  0.2544820,  0.0432998, -0.1655585,   131
         A9A2G4,       0.00,  0.1126127,      10.53,  0.3163636,       0.00,  0.1302409,       8.42,  0.2560242,       0.00,  0.2258356,      13.68,  0.2368454,       0.00,  0.1912802,  0.2867952, -0.1278602,    95
         Q96H15,      38.94,  0.3817690,      21.24,  0.3559584,       0.00,  0.2324585,       7.08,  0.2301363,       0.00,  0.1985614,      15.04,  0.2943298,       2.65,  0.2434592,  0.0182205, -0.1364777,   113
         Q8TDQ0,       0.92,  0.1374237,      10.09,  0.2298488,       0.00,  0.1348871,       6.42,  0.1179734,       0.00,  0.0866409,      17.43,  0.2091327,       2.75,  0.1301699,  0.2606049, -0.2024889,   109
     A0A023GUL3,      27.59,  0.3222268,      24.83,  0.3544508,      20.00,  0.2942387,       4.14,  0.2322573,       1.03,  0.2592865,       9.66,  0.2460737,       2.07,  0.2357157,  0.0755702, -0.2604983,   290
     A0A076JB57,       8.17,  0.1710014,      24.84,  0.3829298,       1.31,  0.2363370,      12.42,  0.2836696,      15.03,  0.3330363,       7.84,  0.2315281,       3.92,  0.2336942,  0.2286839, -0.1528114,   306
         Q734X3,      27.70,  0.2876574,      10.50,  0.3107370,       0.29,  0.2027273,       3.79,  0.2183634,       0.87,  0.2157222,       8.16,  0.2008076,       2.04,  0.2055479,  0.1102907, -0.0970873,   343
         F0NG49,       6.07,  0.1801730,       3.64,  0.2421320,       0.00,  0.1247200,       2.83,  0.0978364,       0.00,  0.0789346,       7.69,  0.1617766,       0.00,  0.1268087,  0.2178479, -0.2227926,   247
         D1LZK0,      14.64,  0.2509117,      10.81,  0.3119811,       0.00,  0.1920786,       3.28,  0.2551220,       4.51,  0.2999984,       1.92,  0.1680664,       0.41,  0.2143466,  0.1472884, -0.1272846,   731
         Q9U1M8,       7.40,  0.1397967,      25.80,  0.3783266,       9.00,  0.2509067,       4.00,  0.1947609,       2.40,  0.2006940,       7.40,  0.2093558,       0.20,  0.1871557,  0.2538426, -0.1215846,   500
         O74958,      24.63,  0.2757347,      35.82,  0.3906072,       9.70,  0.1704993,       8.21,  0.2033567,       0.75,  0.1470010,      28.36,  0.3451478,       2.99,  0.2269746,  0.1197723, -0.1691057,   134
         O34738,      11.68,  0.1844543,      11.68,  0.2019839,      13.20,  0.2450276,       4.06,  0.0626619,       0.00,  0.0347763,      13.20,  0.2051392,       8.63,  0.1556739,  0.2074685, -0.5287769,   197
         A4GRC7,      10.19,  0.1898403,       8.28,  0.3006437,       0.00,  0.1038835,       5.10,  0.1981880,       0.00,  0.1505604,      12.10,  0.1975949,       1.27,  0.1728045,  0.2059975, -0.2173054,   157
         Q9I4L6,      48.89,  0.4990678,      52.59,  0.4865952,      35.56,  0.4539619,      20.00,  0.3686444,      22.96,  0.4087745,      33.33,  0.4297652,      34.07,  0.4411349, -0.0942574, -0.0907811,   135
         A7LXT4,      16.92,  0.2287482,      10.00,  0.2861482,       5.77,  0.1521099,       3.46,  0.1750319,       0.00,  0.1664747,       6.15,  0.1798210,       2.69,  0.1727040,  0.1697811, -0.2440119,   260
         D1Z0H5,      33.22,  0.3692289,       9.30,  0.3426345,       0.00,  0.2176715,       4.98,  0.2678397,       0.33,  0.2668276,       7.97,  0.2308975,       3.32,  0.2462380,  0.0292309, -0.1185358,   301
         D1Z0H7,      39.64,  0.3804570,      34.32,  0.4155658,      11.83,  0.3173949,      19.53,  0.3447230,      20.71,  0.3589469,      14.20,  0.2905027,      21.89,  0.3512649,  0.0189378, -0.0688812,   169
         Q9GZQ8,      34.92,  0.3136634,      42.06,  0.4327109,      36.51,  0.3901711,      13.49,  0.2823278,       0.79,  0.2372481,      16.67,  0.3167927,      12.70,  0.2637905,  0.0836792, -0.0956894,   126
         Q82LM3,      29.52,  0.3666617,      23.41,  0.3995942,      11.45,  0.3264572,       7.38,  0.2453501,       5.85,  0.2883174,      10.43,  0.2456643,       8.65,  0.3120076,  0.0329945, -0.1686609,   393
         Q0QHL8,       9.56,  0.1263717,       7.55,  0.2440007,       0.00,  0.1601772,       3.02,  0.0952410,       1.17,  0.0676433,       4.70,  0.1486303,       0.34,  0.1136478,  0.2639138, -0.0947435,   596
         D2W2Z5,      24.41,  0.3031744,      10.88,  0.3449084,      10.59,  0.2859918,       4.71,  0.2602886,       1.18,  0.2812870,       8.82,  0.2042959,       2.35,  0.2323257,  0.0951544, -0.0949420,   340
         G0X8E3,      14.14,  0.2690725,       5.05,  0.2447971,       0.00,  0.1089404,       6.06,  0.1769434,       0.00,  0.1215616,      10.10,  0.2237346,       0.00,  0.1726849,  0.1312981, -0.2959232,    99
         A7SLZ2,      24.06,  0.2920007,      25.67,  0.3700844,       0.00,  0.2470104,       6.95,  0.2235347,       4.28,  0.2017634,      10.16,  0.2811587,       3.74,  0.2280903,  0.1043522, -0.0762338,   187
         Q9USJ8,      16.43,  0.2343263,      15.71,  0.3157540,       8.57,  0.2500779,      10.00,  0.1937115,       0.00,  0.1584789,      14.29,  0.2261497,       7.14,  0.1880701,  0.1625284, -0.1721848,   140
         Q9RUY4,      60.17,  0.5259202,      15.19,  0.3709798,       0.00,  0.2693534,       8.02,  0.2834538,       6.88,  0.3415418,       9.17,  0.2599408,       4.01,  0.2969727, -0.1259767, -0.1826677,   349
         Q384W5,      13.74,  0.1729099,       7.89,  0.2782661,       0.00,  0.1422280,       2.92,  0.1712234,       0.00,  0.1626613,       4.97,  0.1671871,       2.34,  0.1587080,  0.2215028, -0.1341349,   342
         A1CJQ5,      19.29,  0.3150642,      13.39,  0.3263012,       0.00,  0.1606519,       7.87,  0.2552267,       5.51,  0.2802866,       6.30,  0.2006453,       4.33,  0.2295873,  0.0865693, -0.1219724,   254
         P51449,       7.47,  0.2104941,      14.94,  0.3080181,      15.77,  0.2610360,       3.73,  0.1267278,       0.00,  0.0916277,       7.88,  0.1812038,       0.00,  0.1530119,  0.1886057, -0.1935001,   241
         P60484,       4.46,  0.1247511,      15.29,  0.3074917,       0.00,  0.1810800,       2.87,  0.1530806,       0.00,  0.1287075,       6.05,  0.1763816,       1.27,  0.1484021,  0.2688954, -0.0653009,   314
         Q99JV5,      19.52,  0.2711171,       7.62,  0.2923613,       0.00,  0.1539597,       4.29,  0.1762900,       0.00,  0.1697899,      12.38,  0.1896541,       2.38,  0.1832020,  0.1281236, -0.1253431,   210
         Q8WWZ1,      24.50,  0.2634010,      26.49,  0.3963372,      21.85,  0.3339735,      12.58,  0.2669616,       3.31,  0.2296250,      15.23,  0.2639491,       4.64,  0.2367123,  0.1360074, -0.1226144,   151
         Q76CE8,      38.12,  0.3931863,      21.08,  0.3538969,       9.87,  0.2501724,       4.48,  0.1605893,       0.45,  0.1636773,      25.11,  0.3272212,       4.48,  0.2330952,  0.0030969, -0.3894618,   223
         Q9HYH1,      55.33,  0.4913593,      26.00,  0.3940196,      18.00,  0.3154429,      10.67,  0.2905667,       2.67,  0.2810898,      12.67,  0.3018354,       0.00,  0.2931451, -0.0902574, -0.2029836,   150
         P11041,      10.93,  0.1869317,      25.91,  0.3745592,       0.00,  0.1208560,       6.48,  0.2419211,       2.43,  0.2642382,      12.96,  0.2582080,       4.45,  0.2209762,  0.2089410, -0.0583106,   247
         Q04IN8,      29.32,  0.2909746,      12.66,  0.3445755,       0.00,  0.1792243,       2.74,  0.2489471,       1.90,  0.2860403,       9.92,  0.2236529,       1.90,  0.2323649,  0.1055949, -0.1009715,   474
         Q9X2D0,      30.08,  0.3114066,      41.46,  0.4213602,      23.58,  0.4034878,       7.32,  0.2050959,       0.00,  0.1501111,      25.20,  0.3426830,      17.89,  0.3056907,  0.0887506, -0.0422175,   123
         Q9JIP7,      16.93,  0.1942804,      17.99,  0.3897828,       0.00,  0.1951342,      11.64,  0.3254401,       9.52,  0.3682823,      15.87,  0.2877191,       4.76,  0.2609175,  0.2040495, -0.1179435,   189
         Q0MX25,      17.36,  0.2688867,      26.45,  0.3541481,       3.31,  0.2247643,      11.98,  0.2213537,      10.33,  0.2377804,      23.14,  0.2941706,       5.79,  0.2293899,  0.1263624, -0.0551235,   242
         Q91IE3,      12.05,  0.2085452,      11.24,  0.2936785,       0.00,  0.1458282,       5.22,  0.1884903,       1.20,  0.1873963,       8.84,  0.2047034,       3.61,  0.1804689,  0.1879915, -0.1246248,   249
         P36701,      18.25,  0.2448633,      26.98,  0.3516110,       1.59,  0.1113221,      11.11,  0.2654495,      11.11,  0.2729481,      16.67,  0.2641216,       3.57,  0.2331656,  0.1549092, -0.1104744,   252
         Q67G25,      18.58,  0.2331995,      19.37,  0.3214330,       5.93,  0.1731096,      14.23,  0.2654268,      13.83,  0.3126970,      16.21,  0.2569313,       8.30,  0.2316146,  0.1656636, -0.1001592,   253
         O25565,      22.60,  0.2472669,      20.55,  0.4139104,       3.42,  0.3282700,       9.59,  0.3111637,       1.37,  0.3298157,      13.70,  0.2849159,       3.42,  0.2645122,  0.1473179, -0.0465602,   146
         Q5UEA2,      17.10,  0.1980835,      16.23,  0.3094980,       8.66,  0.2111529,       3.03,  0.1665858,       1.52,  0.1616704,       3.90,  0.1711808,       0.65,  0.1678365,  0.1958724, -0.1766052,   462
         P0AEY8,       4.86,  0.1410698,       4.09,  0.1505134,       0.00,  0.1725129,       0.26,  0.0199425,       0.00,  0.0112523,       3.84,  0.1522790,       0.26,  0.0791762,  0.2509344, -0.5211435,   391
         I7HB71,       6.80,  0.1342795,       5.10,  0.2854421,       0.00,  0.1326499,       3.06,  0.1420796,       0.00,  0.1198418,       4.76,  0.1651448,       0.68,  0.1411313,  0.2577154, -0.2232508,   294
         P79005,       8.94,  0.1579266,      19.15,  0.2860408,       2.98,  0.1912312,       1.70,  0.1007086,       0.00,  0.0640488,       7.23,  0.1900764,       0.43,  0.1331335,  0.2359554, -0.2103999,   235
         Q8WTT0,       0.00,  0.1549246,       8.84,  0.3128804,       0.00,  0.1604804,       6.12,  0.2226429,       0.00,  0.1924963,      10.20,  0.1895205,       0.00,  0.1787441,  0.2430895, -0.0662744,   147
         Q0PQ60,       8.08,  0.2648903,       8.08,  0.2687236,       0.00,  0.0706258,      10.10,  0.2274445,       0.00,  0.2109488,      10.10,  0.1974981,       0.00,  0.1949175,  0.1363486, -0.2491289,    99
         B6E9V6,       4.96,  0.0937265,      23.97,  0.3845877,       0.00,  0.2620861,       7.44,  0.1752529,       0.00,  0.1468188,      14.05,  0.2427237,       4.96,  0.1738516,  0.2984698, -0.1235561,   121
         P27692,      36.36,  0.4038901,      31.31,  0.4070220,       3.03,  0.3080226,      18.18,  0.3968162,      22.22,  0.4348064,      31.31,  0.3603669,      16.16,  0.3338169, -0.0015302, -0.1615812,    99
         Q5RTL1,      14.14,  0.2562397,       5.05,  0.2428210,       0.00,  0.0958293,       8.08,  0.1928504,       0.00,  0.1637608,       9.09,  0.1938816,       0.00,  0.1749256,  0.1439244, -0.2553444,    99
         Q9JXP1,      33.45,  0.3683879,      26.62,  0.3975624,      12.97,  0.2694243,       7.51,  0.2831690,      11.60,  0.3439335,       8.87,  0.2448198,      10.24,  0.3178829,  0.0319713, -0.0795961,   586
         L5P0P1,      32.24,  0.3627967,      25.48,  0.3908880,      11.79,  0.2609935,       6.07,  0.2773870,       9.71,  0.3356886,       7.63,  0.2377824,       4.51,  0.2674238,  0.0378743, -0.0808727,   577
